TABLE01_AD3_account_id,TABLE01_AD3_user_account_id,TABLE01_AD3_lifetime_amount
204592L_BRONZE,LISBETH V,16
204663S_BRONZE,SHIRLENE V,10
204665S_BRONZE,SHANTE L,100
204672T_BRONZE,TALITHA Z,90
204682D_BRONZE,DESTINY T,105
204692G_GOLD,GRANVILLE K,40
204698D_GOLD,DOROTHEA O,118.55
204739J_BRONZE,JOHNETTE E,1500
204765A_GOLD,ANGELIKA B,20
204768H_GOLD,HYMAN T,35
204772F_BRONZE,FLORENCE X,50
204787D_BRONZE,DIEGO S,60
204804V_BRONZE,VICENTA H,125
204962W_GOLD,WILBER G,400
205012F_GOLD,FABIAN Q,1580
205022S_BRONZE,SHENIKA K,25
205028L_BRONZE,LEANA P,50
205040H_GOLD,HELENA Q,1105
205059C_BRONZE,CANDANCE T,240
205076O_BRONZE,ODESSA F,1765
205112J_BRONZE,JENIFER X,20
205160J_BRONZE,JAMEY C,5
205163S_BRONZE,STEFANIA A,5
205172A_BRONZE,ANA S,900
205179W_BRONZE,WILTON Q,15
205208J_BRONZE,JAQUELYN K,380
205222J_BRONZE,JERICA F,40
205241R_BRONZE,ROWENA F,1105
205271D_BRONZE,DON Z,20
205297J_BRONZE,JACKIE G,280
205301J_BRONZE,JOEANN N,380
205309B_BRONZE,BURL P,20
205325F_BRONZE,FREEMAN F,1495
205342M_BRONZE,MEAGHAN Z,100
205380D_BRONZE,DIAMOND P,100
205391J_GOLD,JACKELINE J,50
205427V_BRONZE,VIVIANA D,360
205433N_BRONZE,NATALYA R,25
205440M_BRONZE,MASON G,250
205478S_BRONZE,SUNNI Q,5
205491I_GOLD,INGER Z,20
205574N_BRONZE,NENA B,20
205653A_BRONZE,ASHLYN I,75
205667T_BRONZE,TORY Y,60
205707D_BRONZE,DIGNA F,30
205731Y_BRONZE,YUN Z,250
205752A_GOLD,ALEXANDER I,835.56
205758C_GOLD,CARMELA P,65
205759R_BRONZE,RACHAEL P,20
205773J_BRONZE,JACQULYN Z,20
205780G_GOLD,GWEN F,20
205792E_BRONZE,ELVIRA I,100
205797M_BRONZE,MARLENA P,10
205798N_BRONZE,NATHANAEL P,50
205799C_BRONZE,CAROLEE M,10
205849M_BRONZE,MINH B,70
205877L_BRONZE,LASANDRA Q,20
205899G_GOLD,GREG P,75
205901J_BRONZE,JACQUI W,20
205914T_BRONZE,TIANA H,25
205942J_BRONZE,JOLYN P,1400
205946L_BRONZE,LYDIA C,10
205949L_BRONZE,LANORA Q,15
205963W_BRONZE,WAI E,30
205984N_BRONZE,NORMAND X,100
205987E_BRONZE,ELVIE H,20
205998Z_BRONZE,ZACHARY J,10
206001A_BRONZE,ANDREE N,5
206006M_BRONZE,MIREILLE A,35
206077M_BRONZE,MARQUITTA E,20
206084C_BRONZE,CONCETTA J,10
206143K_BRONZE,KAITLYN Y,150
206177S_BRONZE,SALLEY T,40
206178B_BRONZE,BELVA Q,25
206191T_BRONZE,TONA J,5
206194D_GOLD,DOUG N,20
206202A_BRONZE,ALLA K,225
206265S_BRONZE,SAMELLA R,1300
206271R_SILVER,RAELENE A,20
206302D_SILVER,DETRA Q,100
206355L_SILVER,LYNELL T,20
206358C_GOLD,CARMA J,10
206413K_SILVER,KATHARINA U,270
206467K_SILVER,KYMBERLY F,20
206512T_SILVER,TWILA L,20
206520P_SILVER,PAMALA D,35
206558M_SILVER,MIKEL H,1
206611M_SILVER,MERYL K,1485
206657E_SILVER,ELI R,200
206679S_SILVER,SHANIKA O,25
206683J_SILVER,JARROD N,5
206723E_SILVER,ELIANA W,40
206807S_SILVER,SHELA H,285
206822F_GOLD,FAYE E,25
206845S_SILVER,SIMONA O,100
206928R_SILVER,REGENA W,250
206930T_BRONZE,TERRENCE A,100
206938S_BRONZE,SEAN N,20
207074T_BRONZE,TAJUANA Z,35
207105M_BRONZE,MARYJO E,3
207110S_BRONZE,SHAUNTE M,250
207159F_BRONZE,FRANK S,170
207172E_BRONZE,ELLIOT A,35
207178M_BRONZE,MALCOLM J,10
207182M_BRONZE,MURIEL D,100
207192C_BRONZE,CHRISTINA A,100
207207E_GOLD,EMMITT X,200
207218C_BRONZE,CLEO H,20
207229M_BRONZE,MICHAELE D,50
207240J_BRONZE,JAMILA F,10
207274T_BRONZE,THEOLA S,25
207278M_BRONZE,MACY Z,10
207279V_BRONZE,VANDA N,12.21
207291N_BRONZE,NIEVES L,100
207292B_BRONZE,BEAU N,20
207300L_BRONZE,LEIGHA V,150
207340M_BRONZE,MILO X,52
207362R_BRONZE,ROBBYN O,35
207464C_BRONZE,CECILY V,24
207469J_BRONZE,JOSEPH C,50
207472N_BRONZE,NICOLAS E,1
207477N_BRONZE,NICOLE E,475
207510G_GOLD,GRADY W,302
207517J_BRONZE,JANICE U,5075
207530L_BRONZE,LINDSY F,15
207579N_BRONZE,NU X,975
207598S_BRONZE,SHERICE C,20
207599I_GOLD,IRVING B,40
207601M_BRONZE,MARAGRET O,50
207616S_BRONZE,SAMANTHA D,40
207700M_BRONZE,MAX P,15
207729E_GOLD,ERVIN I,450
207740T_BRONZE,THU R,225
207752M_SILVER,MAYNARD Y,20
207757A_SILVER,AUREA X,75
207762S_SILVER,STEFANIA J,20
207780B_SILVER,BRENNA I,50
207789B_SILVER,BRENDA X,5075
207795N_SILVER,NICHOLE D,12
207797N_SILVER,NORBERTO M,45
207798K_BRONZE,KASANDRA L,8
207812L_BRONZE,LOUVENIA S,20
207817L_BRONZE,LARONDA B,3815.79
207821L_BRONZE,LIONEL T,284821
207833C_BRONZE,CHELSIE F,600
207846J_BRONZE,JANA K,50
207858E_GOLD,ETHEL W,18.52
207862D_BRONZE,DAWNE Z,225
207932E_BRONZE,ELMER Z,20
207949T_BRONZE,TERESE N,50
207959M_BRONZE,MARYLOU G,10
207969E_GOLD,EDISON Z,15
207972M_BRONZE,MARNIE N,48
207988H_GOLD,HAYDEN V,20
208031T_GOLD,TRISH I,650
208040S_BRONZE,SHAUNNA D,50
208050L_BRONZE,LAVERA D,50
208077L_BRONZE,LILA D,50
208081K_BRONZE,KENNITH N,15
208124A_BRONZE,AUGUSTA I,20
208149E_BRONZE,ELMA X,55
208152A_BRONZE,ARACELY C,125
208187M_BRONZE,MOON R,1
208209R_BRONZE,ROSALIA Y,250
208214M_BRONZE,MITZI R,10
208278E_GOLD,EFRAIN L,35
208347Y_BRONZE,YU H,10
208367F_BRONZE,FLORINDA P,20
208383K_BRONZE,KIMBERLY G,1900
208394A_BRONZE,AVA L,375
208428M_BRONZE,MEE M,4824
208429A_GOLD,ALEXIS G,20
208448P_BRONZE,PASTY A,67
208454M_BRONZE,MARYJO H,558
208466W_BRONZE,WILLY K,25
208528T_BRONZE,TWANA S,1924
208537M_BRONZE,MATT N,35
208548J_BRONZE,JEN Y,25
208580L_BRONZE,LUCI M,2750
208587C_BRONZE,CHRISTOPHER G,70
208587S_BRONZE,SHAQUITA W,20
208616A_BRONZE,ARMINDA V,195
208619D_BRONZE,DOLORES R,25
208639K_BRONZE,KAMILAH P,150
208657L_BRONZE,LORENA S,70
208690T_BRONZE,THU O,35
208730J_BRONZE,JANETTA T,786894.2
208741S_BRONZE,SHIRLEY S,1300
208752I_GOLD,ISABELLA Q,175
208812E_GOLD,EZEKIEL T,25
208821S_BRONZE,SHARELL Y,1475
208846D_BRONZE,DAYLE N,1250
208855L_SILVER,LATRISHA H,10
208880V_SILVER,VERONIKA C,125
208885Y_SILVER,YETTA J,60
208904Z_SILVER,ZELMA Q,20
208907T_SILVER,TAMALA O,20
208916M_SILVER,MAISHA C,10
208967R_SILVER,REY H,4904.26
208999E_GOLD,EZEQUIEL D,50
209074J_SILVER,JESSIA B,30
209094A_GOLD,AGUSTIN Y,100
209214M_SILVER,MAEGAN W,70
209222N_SILVER,NEIDA S,60
209244E_GOLD,EVANGELINE W,50
209257B_GOLD,BERNIECE N,40
209290R_SILVER,ROLAND W,10
209292T_SILVER,TATYANA L,73564.75
209300I_GOLD,ILONA R,30
209305J_SILVER,JENNETTE H,10
209345L_SILVER,LAURICE N,10
209399L_SILVER,LIZZIE E,640
209434J_SILVER,JOSIE J,100
209434S_SILVER,SAMATHA S,10
209452O_SILVER,OMER D,60
209461E_GOLD,EVON U,20
209470M_SILVER,MISS D,20
209503K_SILVER,KYMBERLY Y,25
209512L_SILVER,LAURENE F,40
209531E_GOLD,ERA X,5075
209558J_SILVER,JESSE D,10
209559J_SILVER,JOI W,450
209635A_GOLD,AIMEE X,75
209677H_GOLD,HONEY O,150
209748A_SILVER,ALLINE B,35
209765C_SILVER,CINDA U,10
209765R_SILVER,REGINIA Z,60
209769D_GOLD,DYLAN G,50
209840M_SILVER,MYRLE E,60
209856M_SILVER,MARISA D,50
209889C_GOLD,CARISA S,101795
209922R_SILVER,ROSSANA M,5
209960K_SILVER,KAYLEEN U,35
209973Z_SILVER,ZOE V,30
209990G_SILVER,GAYLENE K,1480
210069K_SILVER,KATHARINE Z,200
210076M_GOLD,MINH I,20
210110C_GOLD,CLIFFORD K,10
210137R_GOLD,ROYAL P,25
210188T_GOLD,TAYLOR P,100
210221A_GOLD,ALEIDA B,50
210300J_GOLD,JANIE H,200
210316M_GOLD,MAXWELL U,10
210324I_GOLD,ISAAC H,90
210340A_GOLD,ADALINE L,10
210372A_GOLD,AIMEE G,20
210403C_GOLD,CORRINE R,35
210406V_GOLD,VIOLET Z,320
210422M_GOLD,MARYLOUISE X,20
210449M_GOLD,MIRA O,20
210459A_GOLD,ARNOLD A,20
210463Y_GOLD,YURI H,5
210507J_GOLD,JEANETTA C,65
210511A_GOLD,ARLEEN Q,25
210542R_GOLD,RAYLENE J,40
210545J_GOLD,JOLINE D,2100
210565M_GOLD,MELODI O,20
210570D_GOLD,DIANNA O,25
210580K_GOLD,KASSIE I,850
210582L_GOLD,LOAN R,50
210582R_GOLD,ROLANDO S,35
210589B_GOLD,BRANDA S,40
210608E_GOLD,ELIZABETH H,40
210631J_GOLD,JAMI W,10
210667R_GOLD,RENA T,50
210682R_GOLD,RETHA Q,20
210697A_GOLD,ARDEN M,3000
210727I_GOLD,INA S,280
210731G_GOLD,GAYE X,25
210777M_GOLD,MARTINE T,225
210787K_GOLD,KENIA W,900
210794P_SILVER,PENELOPE D,35
210799R_SILVER,ROSIA C,30
210810T_SILVER,TEMIKA X,100
210873S_SILVER,SOILA K,10
210894W_GOLD,WAYNE Q,10
210946C_SILVER,CORINNE G,25
210976B_SILVER,BREANNA J,45
211058A_SILVER,ARLENA H,20
211070M_SILVER,MIKA R,50
211074A_SILVER,ALLEGRA Z,20
211089S_SILVER,SYLVESTER T,100
211112S_SILVER,SEPTEMBER R,10
211132C_GOLD,CORTEZ S,90
211177J_SILVER,JENINE R,20
211189L_SILVER,LORIA V,25
211217K_SILVER,KATHERINE Z,5
211287H_GOLD,HERTA F,190
211287N_SILVER,NOBUKO T,20
211309S_SILVER,SHERLYN K,64912.67
211313K_SILVER,KAYLEIGH O,50
211317S_SILVER,SUELLEN Z,10
211345J_SILVER,JALEESA F,1300
211359D_SILVER,DELBERT Q,10
211368D_SILVER,DION X,100
211369W_SILVER,WINDY C,500
211415H_GOLD,HERTA T,10
211434N_SILVER,NORENE H,55
211491H_GOLD,HUMBERTO L,50
211495L_SILVER,LEILANI C,10
211563E_GOLD,EVA V,3
211568N_SILVER,NGA D,125
211595C_SILVER,CAROLYNN Y,340
211663E_GOLD,EDMUND T,100
211679Y_BRONZE,YUKIKO W,1
211714K_BRONZE,KATHERINA P,620
211747J_BRONZE,JEANNIE Z,900
211807R_BRONZE,ROBBIN G,35
211822N_BRONZE,NELL F,125
211859L_BRONZE,LARAINE N,20
211890C_BRONZE,CORINE C,100
211899A_BRONZE,ASIA I,10
212035D_BRONZE,DEVIN H,40
212133T_BRONZE,TILDA U,10
212138D_GOLD,DOROTHA F,225
212149J_BRONZE,JORDAN E,10
212302S_BRONZE,SYLVIA V,700
212306P_BRONZE,PINKIE P,600
212312V_BRONZE,VIVAN N,250
212317E_GOLD,ENRIQUETA G,15
212333M_BRONZE,MIGDALIA L,200
212362I_GOLD,ILSE M,20
212376H_GOLD,HARLEY X,15
212412M_BRONZE,MELONY Q,20
212466W_BRONZE,WALTER G,250
212482R_BRONZE,RUBIE A,10
212483M_BRONZE,MARCELLE L,36.7
212493T_GOLD,TRUMAN L,1592478
212514G_BRONZE,GARNETT O,20
212523S_BRONZE,SHILOH K,110
212528J_BRONZE,JEFFERSON Q,30
212623M_BRONZE,MERRILL D,20
212703E_GOLD,EDELMIRA Q,5
212726L_BRONZE,LYNNE I,52
212747A_BRONZE,AMANDA Z,50
212749C_BRONZE,CARTER P,55
212763T_GOLD,TROY W,40
212780S_BRONZE,SHIRA V,45
212786K_BRONZE,KELLYE V,35
212988T_BRONZE,TALIA H,20
213007C_BRONZE,CONCETTA N,11
213038W_GOLD,WENONA A,20
213069C_BRONZE,CORIE W,300
213080B_BRONZE,BLAIR K,20
213089J_BRONZE,JULIO H,575
213104G_BRONZE,GAY U,1300
213117J_BRONZE,JONG F,15
213127T_BRONZE,TEDDY R,625
213155H_GOLD,HSIU T,70
213192S_BRONZE,SIU Q,450
213201D_BRONZE,DANYELLE N,25
213231N_BRONZE,NU W,50
213234H_GOLD,HOUSTON W,10
213248D_BRONZE,DANE O,18
213264S_BRONZE,SONG W,1130
213279L_BRONZE,LEZLIE J,75
213326J_BRONZE,JERALDINE K,50
213327R_BRONZE,ROXIE F,20
213341C_BRONZE,CECILIA U,10
213342K_BRONZE,KAROLE G,355
213346M_BRONZE,MARVELLA Q,110
213360S_BRONZE,SHERRI C,20
213361A_BRONZE,ALVERA U,500
213361L_BRONZE,LEIDA F,200
213374S_BRONZE,SAMIRA Z,50370
213408L_BRONZE,LORIA R,35
213432L_BRONZE,LEAH I,55
213441A_GOLD,ALBERT L,3
213463L_BRONZE,LESA R,20
213506B_BRONZE,BENEDICT R,50
213628B_BRONZE,BRADFORD B,10
213635C_GOLD,CARMELLA R,20
213747S_BRONZE,SANORA S,25
213752A_BRONZE,ARCHIE U,20
213752M_BRONZE,MERLENE E,450
213766I_GOLD,IRMA G,300
213823C_BRONZE,CLEMENTE D,110
213851H_GOLD,HULDA C,50
213867M_BRONZE,MARCUS D,10
213872M_BRONZE,MARITZA X,10
213897L_BRONZE,LESTER Y,20
213913D_BRONZE,DARCY D,50
213999J_BRONZE,JOHANNA U,360
214001E_GOLD,ERICKA Q,30
214011S_BRONZE,SHANICE O,150
214016V_BRONZE,VERLIE P,1400
214052D_BRONZE,DARRELL Y,11
214080C_BRONZE,CECILA A,10
214114B_BRONZE,BRANDON A,1183.95
214115C_GOLD,CRISTEN Q,40
214192L_BRONZE,LIBBY P,320
214201V_BRONZE,VERNA R,120
214224U_BRONZE,UTE N,360
214234G_BRONZE,GLADY A,35
214250D_BRONZE,DEANE G,15
214275J_BRONZE,JUNIE U,300
214280W_BRONZE,WADE L,15
214311J_BRONZE,JUTTA Z,1500
214362A_GOLD,ALFREDO X,1203.4
214372B_BRONZE,BOBBI Y,25
214382Q_BRONZE,QUINTIN X,300
214411S_BRONZE,STEFAN D,85
214461C_BRONZE,CORAZON K,800
214473M_BRONZE,MCKENZIE L,55
214566A_GOLD,ALAN S,25
214586K_BRONZE,KERA V,100
214595A_GOLD,ALETHA P,50
214609S_GOLD,SELINA U,20
214622R_GOLD,ROSALYN U,180
214652B_GOLD,BAMBI Z,250
214657T_GOLD,TANYA J,70
214661A_GOLD,AIMEE O,400
214719E_GOLD,ELOY C,25
214736A_GOLD,ANASTACIA D,2200
214738J_GOLD,JUNIE D,170
214775A_GOLD,ARACELI K,100
214795S_GOLD,SHENA Q,45
214836D_GOLD,DYAN R,20
214874D_GOLD,DEBORA O,70
214912I_GOLD,IONE X,100
214913K_GOLD,KATHERINE B,415
214922M_GOLD,MILLARD T,18
214976A_GOLD,ARIANE Z,10
215057K_GOLD,KENNITH F,50
215060M_GOLD,MARX M,25
215065L_GOLD,LORRIANE J,20
215119A_GOLD,ADRIENE N,1200
215145K_GOLD,KYONG E,50
215158L_GOLD,LACI Z,20
215178D_GOLD,DANTE W,200
215183J_GOLD,JUNG G,10
215201D_GOLD,DAYNA J,8
215288L_GOLD,LETICIA U,30
215332K_GOLD,KIMBER A,20
215338S_SILVER,SHERRELL G,80
215374A_SILVER,ALTHA Q,200
215406N_SILVER,NAOMA G,15
215410J_SILVER,JERICA C,700
215424M_SILVER,MAXIMINA B,60
215481M_SILVER,MYRA T,15
215499K_SILVER,KIMBERLEY I,10
215517N_SILVER,NONA W,40
215541K_SILVER,KURT B,50
215580J_SILVER,JANIS K,20
215613S_SILVER,SELMA V,5
215634J_SILVER,JANNETTE J,120
215641E_SILVER,ELIDA E,75
215666D_SILVER,DEANNA E,250
215668L_SILVER,LESSIE X,20
215672R_SILVER,RENAY M,50
215680L_SILVER,LUCIE F,20808.59
215733M_SILVER,MAPLE T,500
215784D_GOLD,DOREEN Z,40
215813T_SILVER,TILDA H,1650
215881S_SILVER,SANTO F,100
215889R_SILVER,RESSIE R,10
215902A_SILVER,AMANDA D,20
215956C_SILVER,CHANA J,8
216002T_SILVER,TAMALA M,10
216035R_SILVER,RONNA L,40
216075J_SILVER,JEANIE R,500
216145T_SILVER,TANIA C,10
216176R_SILVER,RENATE N,25
216224K_SILVER,KANDRA G,35
216228J_SILVER,JONAS R,20
216249F_GOLD,FE T,10
216276J_SILVER,JEROME G,50
216278R_SILVER,REBBECA R,20
216359D_GOLD,DEREK R,20
216372M_SILVER,MAXIE V,220
216373L_SILVER,LORIANN I,20
216385B_GOLD,BERNEICE B,25
216400N_SILVER,NORRIS X,10
216419D_GOLD,DENEEN R,55
216423D_GOLD,DRUCILLA R,10
216436K_SILVER,KINA R,10
216465K_SILVER,KATLYN I,20
216479N_SILVER,NYLA J,20
216489E_SILVER,ELFRIEDE U,275
216498S_SILVER,STEVEN B,10
216595E_GOLD,EDWIN U,400
216611T_SILVER,TRENT H,125
216612J_SILVER,JENEVA D,20
216626H_GOLD,HORTENSIA Z,575
216629C_SILVER,CORDIE R,1900
216635J_SILVER,JANETT D,10
216648W_SILVER,WINONA H,20
216712P_SILVER,PHUNG M,30
216718M_SILVER,MAN H,25
216757E_GOLD,EMELIA G,25
216760M_SILVER,MATHILDE I,20
216763J_SILVER,JOAQUIN G,20
216793E_GOLD,ERNA V,10
216821T_SILVER,THEDA V,225
216885D_GOLD,DEREK T,60
216897S_SILVER,SCOTT B,20
216898L_SILVER,LILLIANA G,145
216920T_SILVER,TYNISHA V,23635
216931M_SILVER,MILDA O,15
216935M_SILVER,MICHA S,30
216939D_BRONZE,DALLAS K,100
216993R_BRONZE,REUBEN L,15
216994H_GOLD,HEATH G,10
217032Z_BRONZE,ZULEMA P,20
217038R_BRONZE,RENEE N,1
217044L_BRONZE,LAURINDA M,100
217077Z_BRONZE,ZONA Q,20
217090L_BRONZE,LEANNE Z,5
217104E_GOLD,ERMELINDA P,50
217117D_BRONZE,DAGMAR H,1500
217144J_BRONZE,JESUSITA P,35
217157A_BRONZE,ADAM R,70
217169L_BRONZE,LEANN A,15
217170Y_BRONZE,YOLANDE G,25
217185A_BRONZE,ANGLE R,230
217209V_GOLD,VELMA N,20
217327F_BRONZE,FLORETTA B,20
217335A_GOLD,ADELLE N,5
217366W_BRONZE,WYNELL X,600
217440S_BRONZE,SIOBHAN A,30
217441L_BRONZE,LILA R,235
217442M_BRONZE,MIGUELINA J,80
217453H_GOLD,HAZEL R,300
217476W_BRONZE,WYATT G,10
217500J_BRONZE,JENISE Y,20
217513L_BRONZE,LAVONA T,1900
217522J_BRONZE,JACQUELINE C,50
217589W_BRONZE,WILLY Y,10
217612J_BRONZE,JANIECE L,900
217618F_BRONZE,FELECIA Y,10
217635A_BRONZE,ANTIONE B,5
217639B_BRONZE,BRIANNA H,20
217639H_GOLD,HAYWOOD D,1263.13
217649M_BRONZE,MARILEE N,786894.2
217650H_GOLD,HIEDI C,120
217677T_BRONZE,TIFFANIE L,25
217714L_BRONZE,LAJUANA B,10
217719L_BRONZE,LACEY I,20
217737S_BRONZE,SEAN T,20
217737T_BRONZE,TAUNYA W,60
217754D_BRONZE,DEIRDRE F,20
217785F_BRONZE,FRANCESCA T,40
217786L_BRONZE,LAKIA C,100
217787L_BRONZE,LITA J,1900
217902C_BRONZE,CHERYLL J,15
217913G_GOLD,GRACE T,101795
217936V_BRONZE,VERNIA P,20
217939S_BRONZE,SHAUNA A,20
217951H_GOLD,HUI V,691.05
